Tratamento,Stand_Algodao,Stand_Milho,Prod_Algodao,Prod_Milho
I,"3,20","1,10","1687,40","1112,00"
I,"0,40","0,07","774,80","48,00"
I,"0,10","0,00","0,00","0,00"
II,"7,00","1,90","1946,9","1124,00"
II,"5,8","1,80","1873,10","1383,50"
II,"5,20","1,70","1635,80","912,70"
III,"5,20","2,10","1892,50","1696,20"
III,"0,70 ","0,80","798,70","719,70"
III,"0,00","0,10","0,00","121,20"
IV,"3,90 ","2,00","1333,70","1280,50"
IV,"1,90","1,80","776,20","1237,00"
IV,"0,40","1,60","487,10","724,50"
V,"6,90","2,20","2058,10","1540,30"
