Época de Aplicação,Dose (m³/ha),Trat.,Algodão em Caroço (Stand /n° plantas prod./m²),Algodão em Caroço (%),Algodão em Caroço (Produção (kg/ha),Milho em Grãos (Stand /n° plantas prod./m²)),Milho em Grãos (%),Milho em Grãos (Produção (kg/ha))
I. - 40 dias antes do plantio + no plantio,50,1,"3,20 a","46,00","1687,40 ac","1,10 acd","5,00","1112,00 a"
,100,2,"0,40 b","6,00","774,80 acd","0,07 bc","3,00","48,00 b"
,200,3,"0,10 b","1,00","0,00 bd","0,00 b","0,00","0,00 b"
II. - 40 dias antes do plantio,50,4,"7,00 a","101,00","1946,90 ac","1,90 ac","86,00","1124,00 a"
,100,5,"5,80 a","84,00","1873,10 ac","1,80 ac","82,00","1383,50 a"
,200,6,"5,20 a","75,00","1635,80 ac","1,70 ac","77,00","912,70 a"
III. - No plantio,50,7,"5,20 a","75,00","1892,50 ac","2,10 a","95,00","1696,20 a"
,100,8,"0,70 bd","10,00","798,70 acd","0,80 bcd","36,00","719,70 a"
,200,9,"0,00 b","0,00","0,00 bd","0,10 bd","4,00","121,20 b"
IV. - 30 dias após o plantio,50,10,"3,90 a","36,00","1333,70 ac","2,00 a","91,00","1280,50 a"
,100,11,"1,90 bcd","28,00","776,20 acd","1,80 ac","82,00","1237,00 a"
,200,12,"0,40 b","6,00","487,10 cd","1,60 ac","73,00","724,50 a"
Testemunha absoluta,0,13,"6,90 a","100,00","2058,10 a","2,20 a","100,00","1540,30 a"
CV (%),,,"16,37",,"31,24","13,51",,"22,38"
